hour,oaid,os,item_names,brand,sw,sh
1,17ca055b3d73d990c018e8076d0f871b186a01b07d5caa223625d1656e09bc4a,Android_10,剧情,vivo,1080,2340
9,,,"文化,脱口秀,搞笑",OPPO,1280,720
0,9A905539D8B447FE9A3604042A6C59493c40a779e0f3a7c33e700a901c9bacb3,Android,其他,OPPO,1080,2237
0,834C21D2BEDF4220A3B0FD06FE0F593B0ee42f6d3c9c6a5cabf27961dc67b598,Android_12,其他,OPPO,1536,720
7,02f5deeb331390b28c2a925e283808444721f857c75f45b495c87e3eee8320b1,Android_9,"都市,爱情",vivo,720,1404
9,fa298cb7553ea989,,"明星,真人秀,音乐,芒果出品",xiaomi,1080,2047
8,f17b1ee4c89fcdeca81b1d51177fdbf290aa7b22231552c151fd8f9448d7bb31,Android_10,"剧情,爱情,古装",vivo,2192,1080
1,d1bcc10d0330f3a234dc69e8c7e7257d919e4c126b4709d3a27893691c816ed3,Android_11,"芒果出品,悬疑,犯罪",vivo,1080,2320
8,B596243ACC9A44F6A957726639CCCAC431cadcf13f23b73f238622371c7dfb96,Android_13,"剧情,爱情,芒果出品",realme,1080,2148
0,,,其他,apple,2436,1125
0,3E167B3CC0964C1BBA8D09A0661691E5a51fec9aa7b4f482ca54acbac8e738b0,Android_12,"科幻,爱情",OPPO,1080,2242
0,4BE5267F7584413A8E3B4948B1959FC2a0de60d5cd21c123147d8279b792ef51,Android_12,剧情,OPPO,1080,1800
9,cf29cfc3246fc770f46cbc56d8a936ecd058ee4aa166ef40ccbcc67f243edb43,Android_10,"喜剧,爱情,芒果出品",vivo,1080,2342
1,,Mac,"年代,剧情",,,
1,,Android_12,"警匪,剧情,芒果出品",HONOR,2560,1600
0,,,"文化,脱口秀,搞笑",apple,2388,1668
1,2ecbbafc6df4258b,Android_9,"芒果出品,爱情,古装",xiaomi,1080,2131
4,4f46a2c6e64edf45,Android_11,"真人秀,音乐",Redmi,,
2,A3FC928D4F50438AA54244AF8EF99CBD6139a6bb3c2bcee02d9af179cb13fda1,Android_12,"爱情,都市,家庭",realme,1080,2148
5,,,"音乐,芒果出品",apple,828,1792
2,19b14bbac1f5dc12f06e6619b81a785efef76c6aeb31189dd014fae61b1d6209,Android_13,"古装,悬疑,爱情",vivo,1080,2318
0,,Mac,"都市,爱情,剧情",,768,1024
