hour,oaid,os,item_names,brand,sw,sh,req_id,key
1,17ca055b3d73d990c018e8076d0f871b186a01b07d5caa223625d1656e09bc4a,Android_10,剧情,vivo,1080,2340,ZKhPX2yFqQZE9a-4,17ca055b3d73d990c018e8076d0f871b186a01b07d5caa223625d1656e09bc4a
9,,,"文化,脱口秀,搞笑",OPPO,1280,720,ZKi8ZIn4rAlpAM_1,8c6fac610c1caf37847c7e64be54073b
0,9A905539D8B447FE9A3604042A6C59493c40a779e0f3a7c33e700a901c9bacb3,Android,其他,OPPO,1080,2237,ZKg95mYpeglGYBp5,9A905539D8B447FE9A3604042A6C59493c40a779e0f3a7c33e700a901c9bacb3
0,834C21D2BEDF4220A3B0FD06FE0F593B0ee42f6d3c9c6a5cabf27961dc67b598,Android_12,其他,OPPO,1536,720,ZKg-UKJ1tQ7cYT35,834C21D2BEDF4220A3B0FD06FE0F593B0ee42f6d3c9c6a5cabf27961dc67b598
7,02f5deeb331390b28c2a925e283808444721f857c75f45b495c87e3eee8320b1,Android_9,"都市,爱情",vivo,720,1404,ZKifRxJ-KAkqoI69,02f5deeb331390b28c2a925e283808444721f857c75f45b495c87e3eee8320b1
9,fa298cb7553ea989,,"明星,真人秀,音乐,芒果出品",xiaomi,1080,2047,ZKi7dnxF2QlUE2_6,fa298cb7553ea989
8,f17b1ee4c89fcdeca81b1d51177fdbf290aa7b22231552c151fd8f9448d7bb31,Android_10,"剧情,爱情,古装",vivo,2192,1080,ZKix0haTsglr1Sh5,f17b1ee4c89fcdeca81b1d51177fdbf290aa7b22231552c151fd8f9448d7bb31
1,d1bcc10d0330f3a234dc69e8c7e7257d919e4c126b4709d3a27893691c816ed3,Android_11,"芒果出品,悬疑,犯罪",vivo,1080,2320,ZKhQiXrrPwlm4Xp4,d1bcc10d0330f3a234dc69e8c7e7257d919e4c126b4709d3a27893691c816ed3
8,B596243ACC9A44F6A957726639CCCAC431cadcf13f23b73f238622371c7dfb96,Android_13,"剧情,爱情,芒果出品",realme,1080,2148,ZKizCm-joAlEuSo1,B596243ACC9A44F6A957726639CCCAC431cadcf13f23b73f238622371c7dfb96
0,,,其他,apple,2436,1125,ZKg9XHK6qlOVm_S7,74760464-2AE5-44CF-8116-03DA9A93E3D0
0,3E167B3CC0964C1BBA8D09A0661691E5a51fec9aa7b4f482ca54acbac8e738b0,Android_12,"科幻,爱情",OPPO,1080,2242,ZKg2qAx3jGQUF3o1,3E167B3CC0964C1BBA8D09A0661691E5a51fec9aa7b4f482ca54acbac8e738b0
0,4BE5267F7584413A8E3B4948B1959FC2a0de60d5cd21c123147d8279b792ef51,Android_12,剧情,OPPO,1080,1800,ZKg2j2-z1AkxZTf7,4BE5267F7584413A8E3B4948B1959FC2a0de60d5cd21c123147d8279b792ef51
9,cf29cfc3246fc770f46cbc56d8a936ecd058ee4aa166ef40ccbcc67f243edb43,Android_10,"喜剧,爱情,芒果出品",vivo,1080,2342,ZKi859dNnglB5cg7,cf29cfc3246fc770f46cbc56d8a936ecd058ee4aa166ef40ccbcc67f243edb43
1,,Mac,"年代,剧情",,,,ZKhOSHxF2QlU4mA3,MkEyQTY3Q0I3OTNFQzlCRUMwRjcxMzhGQTNDOTk1QjU=
1,,Android_12,"警匪,剧情,芒果出品",HONOR,2560,1600,ZKhEm_SimAljifi7,f813f6b4-1153-4fba-911a-5c7a2fe79b0d
0,,,"文化,脱口秀,搞笑",apple,2388,1668,ZKg6wzqsAglljv74,51199019a1894c4439b1c65b4ce7300602d95928
1,2ecbbafc6df4258b,Android_9,"芒果出品,爱情,古装",xiaomi,1080,2131,ZKhFWOMP4QkCnSS4,2ecbbafc6df4258b
4,4f46a2c6e64edf45,Android_11,"真人秀,音乐",Redmi,,,ZKh7fPSimAljoR13,4f46a2c6e64edf45
2,A3FC928D4F50438AA54244AF8EF99CBD6139a6bb3c2bcee02d9af179cb13fda1,Android_12,"爱情,都市,家庭",realme,1080,2148,ZKhYSONnYwln7Vl8,A3FC928D4F50438AA54244AF8EF99CBD6139a6bb3c2bcee02d9af179cb13fda1
5,,,"音乐,芒果出品",apple,828,1792,ZKiAWzNAXglqn6z9,69D23579-7668-46BF-96ED-2BE3494E07F6
2,19b14bbac1f5dc12f06e6619b81a785efef76c6aeb31189dd014fae61b1d6209,Android_13,"古装,悬疑,爱情",vivo,1080,2318,ZKhSrehm0wlkNan4,19b14bbac1f5dc12f06e6619b81a785efef76c6aeb31189dd014fae61b1d6209
0,,Mac,"都市,爱情,剧情",,768,1024,ZKg9OcKDAlt6LlB7,QUVFNTQ5QTlFRUQzOTEwMjc5MzdBN0U2RkFFMzM0QzI=
8,38441863AB5145C08C1B4AB88C9E7B07cd8b3a1f53cc98b77d609f9b34efe9e2,Android,"芒果出品,青春,偶像,爱情,网剧",OPPO,1371,720,ZKinFgx3jGQUR_V3,38441863AB5145C08C1B4AB88C9E7B07cd8b3a1f53cc98b77d609f9b34efe9e2
2,,,其他,HONOR,1080,2208,ZKhYfzqsAgllnoM3,3b6bdf6c-ec77-d2ce-77fe-ff6ef6dc5f6c
0,15bb5c0eea44123812968117f92d79c7d28aeb1cabd5c048cbbbc994f07868b9,Android_10,"都市,爱情",vivo,1080,2316,ZKhCAG-z1AkxbFQ9,15bb5c0eea44123812968117f92d79c7d28aeb1cabd5c048cbbbc994f07868b9
3,,,"都市,家庭,芒果出品",OPPO,1080,2132,ZKhssCEqaQk_yVi6,f297f439ac1707682fd8fc033395c386
6,8b7af0e915039b35,Android_10,"剧情,爱情,芒果出品,都市",Redmi,720,1449,ZKiW4i_xbm9hxc78,8b7af0e915039b35
5,d1c72a195fa52af5,Android_11,"剧情,都市",Redmi,1080,2276,ZKiFiiBTwAl5MIZ8,d1c72a195fa52af5
0,FF090666D46B4BBD850ADB7D6474FBF55766d48e059e7d84cb2b928c224892cc,Android_13,"剧情,爱情,悬疑,犯罪",OPPO,1080,2153,ZKhDNVoTBmi2Stp3,FF090666D46B4BBD850ADB7D6474FBF55766d48e059e7d84cb2b928c224892cc
1,,,"言情,穿越,古装,芒果出品",apple,1170,2532,ZKhHwKNL4glrA1w8,16a49ba3a7c9101b16239d317aa72cae1ea5b17d
9,1689a87c7abb0010d974262d28eb1a83207972a67d781d14ce97a8bc51734120,Android_10,"明星,真人秀,芒果出品",vivo,2115,1080,ZKi9wpL5zDM88mH7,1689a87c7abb0010d974262d28eb1a83207972a67d781d14ce97a8bc51734120
8,bb97f720d90f5718,Android_13,"真人秀,美食",Redmi,1080,2276,ZKinGGYpeglGi8a0,bb97f720d90f5718
9,,,"真人秀,教育",apple,1170,2532,ZKjCMzNAXglqwia8,a14c368b232907f39804dd19380f20bb295b6e35
7,,Android_9,"纪实,生活,真人秀",OPPO,2340,1080,ZKilK-MP4QkCxC85,521c4377b405fdc73db60def64d7b602
7,,,其他,apple,1170,2532,ZKifwhJ-KAkqoMm2,5E304755-6ED8-4F45-B5C2-1703EED22E97
0,,,"剧情,都市",apple,1179,2556,ZKg2iHrrPwlm0tR6,617f7c1b33cec3749b323b6001f535602c7bb9f3
6,,Android_12,"家庭,喜剧,青春",HONOR,1080,2316,ZKiNEGyFqQZEDOV4,5985065f-4b34-49b9-bf6a-76bee9d8472b
7,de739abeb9f63439,Android_11,"爱情,悬疑,犯罪",Redmi,1080,2190,ZKigdyBTwAl5O1L3,de739abeb9f63439
7,60D93C47F7264E6788F3CCA7EFBDFBD734d4f88ecac154014d3f37c06ce3597a,Android_12,其他,realme,720,1536,ZKiY_7VOSgkDaH64,60D93C47F7264E6788F3CCA7EFBDFBD734d4f88ecac154014d3f37c06ce3597a
9,268D99C9F42846EAB8737BE19A27D018b5b60cc1a35380fbb9a3b6f4efffc083,Android_12,音乐,OPPO,1080,2285,ZKi7aWyFqQZEJjR2,268D99C9F42846EAB8737BE19A27D018b5b60cc1a35380fbb9a3b6f4efffc083
4,B1ED00B3A35142F39BCCCF63B0F50AA85388d7ed5969d70d9859d252b1f6907b,Android_11,音乐,OPPO,1080,2161,ZKhu0y_xbm9ht9H3,B1ED00B3A35142F39BCCCF63B0F50AA85388d7ed5969d70d9859d252b1f6907b
1,,,"都市,爱情",vivo,1080,1920,ZKhEsuMP4QkCnN94,9cbcdbc165a696d40d02eed5ac39dd33
9,c619c91561dd3139044238ceb8c64a2b520c33d663eb32cc8c4d6e6693077219,Android_11,"剧情,悬疑,谍战,年代",vivo,1080,2283,ZKi-CW-z1AkxpcV6,c619c91561dd3139044238ceb8c64a2b520c33d663eb32cc8c4d6e6693077219
0,,Android_11,"爱情,都市,家庭",HONOR,1080,2316,ZKg8ZeMP4QkCmHM7,6f9969a3-b9e7-405c-b310-1f590f1e86ef
7,,,"真人秀,美食,明星",apple,2224,1668,ZKimyHxF2QlUBT82,3d8c97875964910e066b59bb2734590ed9f98a81
6,,,"剧情,家庭",apple,1125,2436,ZKiNtddNnglBy541,c9c55b12d68e3c465222a2fa992beb523497e8cd
8,9b8041789062b9fba02617a520892977de85d70e1acf46f794ffdf868cf9a898,Android_11,"剧情,喜剧,芒果出品",vivo,720,1554,ZKinFufIIAk9kX20,9b8041789062b9fba02617a520892977de85d70e1acf46f794ffdf868cf9a898
8,,,"爱情,奇幻",apple,750,1334,ZKinNvSimAljsjq0,852c29c490d7d2be449d3005bddf92b67475ebd9
8,fea6d46cc9cee620,Android_10,"纪实,生活,真人秀",Xiaomi,1080,2068,ZKiw7m-joAlEt9A3,fea6d46cc9cee620
8,454CF71950D84A178083EAC04A2875FD69ebd7e21699af33300b4f2ae2946078,Android_12,"悬疑,犯罪,芒果出品",realme,2293,1080,ZKi0AKJ1tQ7clQ24,454CF71950D84A178083EAC04A2875FD69ebd7e21699af33300b4f2ae2946078
7,ABF57496C8024A169D49CBC1BAA752B4e9d8466d85bc3081eab591c115ad46a3,Android_12,其他,OPPO,2158,1080,ZKiZApL5zDM82-t0,ABF57496C8024A169D49CBC1BAA752B4e9d8466d85bc3081eab591c115ad46a3
7,1900f0e4b32d5b4fdd70c10170d7bfb98a696a159d0de699ba8dd2596e81d55b,Android_13,"剧情,家庭",samsung,1080,2199,ZKiZBBJ-KAkqnVi3,1900f0e4b32d5b4fdd70c10170d7bfb98a696a159d0de699ba8dd2596e81d55b
0,,,"明星,真人秀,芒果出品",apple,828,1792,ZKg-83fy5QlJrBM3,942311a69a2a238eeedcdfc3e0419f9600511fd8
0,,Android_10,"音乐,竞技",HUAWEI,1080,2322,ZKg2nC_xbm9hnLe3,b0e315c4-7fed-427a-bc12-ebb8f8abe098
1,83fdb0889a5728e7,Android_11,其他,Redmi,1080,2190,ZKhQk-MP4QkCoxX2,83fdb0889a5728e7
4,,Android_12,"爱情,都市,家庭",HONOR,765,1445,ZKhwQaNL4glrFNf6,c5ebb3ed-2879-4f05-85e8-a3f87d15bfc2
0,,Android_11,"剧情,都市",HONOR,2178,1080,ZKg69-MP4QkCl4U6,01647011-b450-4071-8395-82d3123da5d6
8,,Android_10,音乐,HUAWEI,2000,1200,ZKioeHfy5QlJ1_57,44f7664f-1cd4-429c-b90f-af70f88ca518
1,,Android_13,其他,OPPO,2305,1032,ZKhRQkrnhglMbMW1,NURCMTU1QTVEMkFBQUU4RDNERDM1OEM0Qzc4NjQzRkI=
8,,Android_12,"纪实,生活,真人秀",HUAWEI,1176,2328,ZKiyXTSmkAk0-6M6,03e131ad-700e-4932-b01f-0e8b948f6cfa
6,,Android_10,"文化,脱口秀,搞笑",HUAWEI,1080,2139,ZKiMlHfy5QlJy6M4,b5f3ffff-ef97-3a78-dee2-682efcc1fcec
4,85C9573E6AC84BB59020856214B0D67B9521992093a28e5a954dfe8007b643ba,Android_12,"爱情,都市",OPPO,1080,2161,ZKh5E4n4rAlp4EE8,85C9573E6AC84BB59020856214B0D67B9521992093a28e5a954dfe8007b643ba
1,,,其他,apple,1170,2532,ZKhHCwx3jGQUIST1,98971dd059b026aad4c71d490778332f2fdc36c6
1,8C7629295C8B4A899972B0FA636EA0C05ed1515c8a4c3985f5e7c0821469b40c,Android_11,其他,OPPO,1080,2340,ZKhGAIs1jAls6TX2,8C7629295C8B4A899972B0FA636EA0C05ed1515c8a4c3985f5e7c0821469b40c
5,b6f42598681bde47,Android_11,"纪实,生活,真人秀",Xiaomi,2560,1564,ZKh83qJ1tQ7cfBS5,b6f42598681bde47
