hour,oaid,os,item_names,brand,sw,sh
12,84,9,92,27,95,133
0,170,10,103,62,35,72
10,123,5,102,62,95,31
10,19,15,102,62,109,72
15,77,0,96,27,48,19
0,15,10,72,54,95,2
1,12,9,20,27,26,138
12,254,7,2,27,95,54
1,3,11,49,55,95,86
10,170,10,102,18,18,179
10,140,15,19,62,95,115
10,204,15,92,62,95,177
0,10,9,115,27,95,14
12,170,8,36,41,84,121
12,170,15,8,36,8,162
10,170,10,103,18,132,57
12,100,0,84,54,95,144
5,35,7,104,43,84,121
19,128,15,23,55,95,86
22,170,10,59,18,22,142
19,94,11,60,27,95,196
10,170,8,38,41,40,194
1,236,5,43,62,42,72
19,170,10,102,36,95,152
10,97,9,96,27,95,4
6,170,10,93,62,95,168
21,234,9,70,43,48,169
22,76,7,116,43,95,171
10,89,11,101,62,95,41
12,170,10,52,18,41,3
0,175,9,66,27,75,138
1,135,11,65,43,95,171
0,170,10,55,18,41,3
15,170,0,34,62,93,138
15,170,10,102,18,41,3
10,170,10,116,18,32,93
21,170,15,3,36,95,4
15,54,7,45,43,95,163
15,88,15,102,55,48,153
0,250,15,105,62,95,69
5,92,7,105,62,95,172
12,170,10,96,27,95,5
0,78,7,32,27,95,66
10,170,7,23,36,95,4
15,170,10,75,18,123,57
21,170,10,48,18,122,29
1,205,7,119,27,48,91
1,170,10,90,18,129,131
1,179,9,34,42,95,87
1,56,15,74,55,11,138
15,151,15,102,62,19,138
15,105,11,48,39,95,173
10,170,10,66,18,22,142
10,170,9,69,57,95,15
12,129,7,102,43,95,163
5,170,15,23,36,50,95
10,170,7,116,36,102,138
1,170,9,105,57,86,50
12,170,11,102,62,57,159
1,170,15,34,57,21,88
21,170,9,103,57,95,181
5,210,15,30,62,95,172
12,170,10,102,18,41,3
12,90,7,102,62,95,133
22,109,7,34,42,8,199
21,170,10,34,18,46,58
18,42,7,40,43,48,169
8,170,10,107,18,41,3
11,170,9,72,57,45,167
4,170,10,116,18,116,139
4,170,10,18,18,46,58
2,170,15,102,36,95,111
20,190,15,102,42,95,109
4,115,7,102,62,11,138
8,219,7,49,44,95,59
18,170,0,86,57,95,86
8,170,10,96,18,122,29
2,170,10,23,18,16,34
11,120,5,34,62,47,138
2,39,9,5,27,95,107
8,170,9,31,36,95,44
8,252,0,69,27,56,72
4,170,10,4,18,78,153
11,255,9,29,55,95,9
18,60,7,102,27,95,100
8,170,9,114,57,34,49
18,21,9,16,62,95,166
20,170,10,102,18,16,34
11,170,10,78,18,84,121
11,170,9,102,57,95,81
16,158,15,116,62,67,138
11,136,0,61,27,68,138
11,224,7,49,39,95,119
8,38,0,42,54,25,164
8,139,10,104,62,48,110
11,170,15,30,57,55,138
11,170,10,84,18,23,26
20,223,7,23,62,95,9
2,170,14,82,41,84,121
20,155,9,102,27,9,138
4,170,15,50,36,102,138
4,170,15,50,36,102,138
4,170,8,102,41,134,195
20,170,15,119,57,95,106
8,170,9,110,57,60,138
8,170,9,100,57,95,180
8,170,15,22,57,106,136
11,170,10,69,18,41,3
2,170,15,42,57,121,122
16,170,10,102,18,132,57
18,101,7,107,44,95,170
8,170,9,63,57,30,138
18,170,10,102,18,119,83
8,87,7,17,62,48,153
2,170,10,66,18,32,93
8,170,9,93,57,34,123
11,217,0,98,27,95,84
18,170,10,54,18,22,142
16,170,10,42,27,95,5
2,170,0,23,36,34,1
11,170,10,104,57,95,119
11,170,10,49,18,92,186
16,170,10,102,18,129,131
0,202,7,22,62,95,130
2,131,0,118,27,85,138
11,170,10,7,18,41,3
11,170,10,102,18,41,3
11,170,10,96,18,1,64
18,251,10,35,62,48,79
8,272,7,32,62,95,152
2,232,7,62,43,73,42
11,185,7,34,43,95,171
2,154,15,7,39,95,155
20,237,11,107,62,95,172
8,233,9,23,27,48,91
16,260,15,42,62,48,129
