hour,oaid,os,item_names,brand,sw,sh,req_id,key,,request_uri
17,1.00E+15,Android_11,"真人秀,益智,芒果出品",Redmi,1449,720,ZKktywLt-wmTELc7,1.00E+15,1,/mango.htm
23,6.93E+15,Android_12,"战争,剧情",Redmi,2320,1080,ZKmFOXrrPwlm8Gv0,6.93E+15,1,/mango.htm
8,,Android_12,"都市,爱情,芒果出品",HUAWEI,1152,2151,ZKipzFmMYQg_GKg7,00000000-0000-0000-0000-000000000000,4,/mango.htm
8,,Android_10,"亲子,明星,真人秀,教育,芒果出品",HUAWEI,1080,2214,ZKitdmWZbQmSOhi2,00000000-0000-0000-0000-000000000000,4,/mango.htm
15,,Android_12,"真人秀,益智",HUAWEI,2597,1228,ZKkOAsM1KnvP3p_6,00000000-0000-0000-0000-000000000000,4,/mango.htm
22,,Android_10,"芒果出品,网剧,都市,爱情,职场",HUAWEI,2231,1080,ZKl4Zz1nowzGdfj2,00000000-0000-0000-0000-000000000000,4,/mango.htm
13,,,"情感,旅游,真人秀,芒果出品",Xiaomi,,,ZKj67VoTBmi2wVd3,0001caed0d17b7a90b3df07af3041b87,1,/mango.htm
7,,,"剧情,爱情,悬疑,犯罪",apple,1170,2532,ZKibTDqsAglltxl3,0001ecac71535eace3dd793b805d75be64bda6ff,1,/mango.htm
21,,,"亲子,明星,真人秀,教育,芒果出品",apple,2436,1125,ZKloJZKH5Ag2Ewp6,0007D603-9D55-46EC-A94A-3BD63A26826C,1,/mango.htm
8,,,"芒果出品,真人秀,明星,搞笑",Xiaomi,,,ZKirpqJ1tQ7cj7-6,0007e623da106b7cda78c649f4e13dbd,1,/mango.htm
13,,,"爱情,都市,家庭",apple,2208,1242,ZKjtYjNAXglq7XY5,0010AB69-C083-4698-B3D4-BD046234590F,1,/mango.htm
18,,,"文化,脱口秀,搞笑",SHARP,,,ZKk9mZ_HQmDqLZe8,00110b2b898de891263c9936ee6f4075,1,/mango.htm
18,,,"真人秀,芒果出品",Xiaodu,,,ZKk7o6NL4glrwZk4,00163c395255357fda57c3a9c746cc0c,1,/mango.htm
12,,Android_11,"真人秀,芒果出品",HUAWEI,2693,1188,ZKjfUXK6qlOV9xu1,0016b8ba-6db6-4900-829b-d558ffac6ff9,1,/mango.htm
11,,,其他,rockchip,,,ZKjVu_SimAlj14G7,0016f955bd986ec38388ff37b585f63a,2,/mango.htm
11,,,"剧情,悬疑,爱情",rockchip,,,ZKjTyOfIIAk9tJh4,0016f955bd986ec38388ff37b585f63a,2,/mango.htm
13,,,"都市,爱情",MStar,,,ZKj6-bxPiW6OwJD2,001771d6108b980f7890d25db3bf4b28,1,/mango.htm
8,,,"剧情,喜剧,芒果出品",apple,828,1792,ZKivg6NL4glrL0A2,00193E3D-6BB8-4EDC-AA36-82521C8FF277,1,/mango.htm
19,,android_10,"都市,剧情",HUAWEI,1200,2499,ZKlNgDqsAgllajR1,001af29b-564b-42bd-bda2-e2e75ab07902,1,/mango.htm
16,,9,"真人秀,旅游",Xiaomi,,,ZKkkyuhm0wlk1Ft3,001fb13efcd826950597967e0e4a7133,1,/mango.htm
16,,,"剧情,爱情,芒果出品",Coocaa,,,ZKkiEefIIAk9DEI6,00233a3751b75cf3e9a0ef1f5bd40c19,1,/mango.htm
7,,Android_10,"真人秀,益智",HUAWEI,1600,2560,ZKilJW-z1AkxlPV1,0023c336-b87a-4469-858f-83bd35e7d865,1,/mango.htm
21,,,"爱情,都市,家庭",OPPO,1080,1920,ZKlmCaNL4glr-F73,0025cea606d1beb95229f92f4cbf7a7f,1,/mango.htm
19,,,"校园,青春,奇幻,喜剧,爱情",Hisense,,,ZKlMqqNL4glr1lm7,00281d8ff987a05419d9297b6a808ca9,1,/mango.htm
18,002970171ac5f41b091ed8d9a0fb97a13cb766e6b5467d6548392d80c499127c,Android_10,"爱情,都市,家庭",vivo,720,1470,ZKk6BSEqaQk_dXl2,002970171ac5f41b091ed8d9a0fb97a13cb766e6b5467d6548392d80c499127c,1,/mango.htm
11,,linux,"爱情,剧情,喜剧,都市,家庭",SAMSUNG,,,ZKjeJ_SimAlj4DI5,002b855b06c91ec39c5f207a2f8891cc,1,/mango.htm
19,,,"真人秀,教育",Xiaomi,,,ZKlH7WyFqQZEvvb1,002e9ff784c51dffccf7c28d3b07bbe5,1,/mango.htm
14,,Android_10,其他,HUAWEI,1080,2322,ZKkFGos1jAlsaj44,00306a80-6c24-4ac4-815b-7ecce9bd670f,1,/mango.htm
7,,9,"古装,武侠,剧情,芒果出品",hisense,,,ZKilV3rrPwlmAqs6,00312ec14ed36c033e3340cf0f88d8be,1,/mango.htm
12,,10,"年代,都市",HUAWEI,,,ZKjjPTNAXglq4uz5,0032f83d56ebcd9bfa325eb4799688d3,1,/mango.htm
20,00336C450FF749459D555CE79D7105EC6705542fccfb989b1e91005ba7fc9330,,"纪实,生活,真人秀",OPPO,720,1424,ZKlP2W-z1AkxRlL7,00336C450FF749459D555CE79D7105EC6705542fccfb989b1e91005ba7fc9330,1,/mango.htm
12,003469701B5C48DB8EE4DB92F2F0B71Da9c88b63ce0dd7102e47e19f9ef90f00,Android_11,"芒果出品,网剧,都市,爱情",OPPO,2290,1080,ZKjfUfSimAlj4VM9,003469701B5C48DB8EE4DB92F2F0B71Da9c88b63ce0dd7102e47e19f9ef90f00,1,/mango.htm
20,,,"爱情,都市",MBX,,,ZKlTmHrrPwlmuTx6,00376e3184740ef3ad0dfc6146c797ab,1,/mango.htm
12,,Android_11,"都市,爱情,剧情",Tianyi,1478,720,ZKji0a5hVTQCHqW8,0038d8a4-fbba-437a-b686-6b04c2c94ba9,1,/mango.htm
12,,,"警匪,爱情,悬疑,芒果出品",apple,828,1792,ZKjfSrVOSgkDnlV8,003aec72a8ca2fa7bde038d1c969d271adbc6847,1,/mango.htm
