hour,oaid,os,item_names,brand,sw,sh,req_id,key,request_uri
20,b4f71cc2cbe250c1,Android_10,"都市,爱情",Xiaomi,1080,2287,ZK_yC4jR0QlAvzE4,b4f71cc2cbe250c1,/mango.htm
20,,Android_9,"明星,真人秀,音乐,芒果出品",HUAWEI,1440,3045,ZK_yF-j6DwluE3a7,955a066278154fdc47258f7d47f44ba8,/mango.htm
20,d4c2dd63d5378328,Android_10,"古装,武侠,剧情,芒果出品",Redmi,2111,1080,ZK_yMglJIgktKD36,d4c2dd63d5378328,/mango.htm
20,,Android_10,"益智,真人秀,搞笑,芒果出品",HUAWEI,1080,2197,ZK_yaC_xbmuuc8n4,5e71b941-b289-48af-baeb-d538b276a6b0,/mango.htm
20,083024859E854BD999B6A5704CACC2A45e850fe5445a11958ea3703070bed73c,Android_12,"爱情,言情,都市,芒果出品",OPPO,1080,2316,ZK_ybINzKwlW52l4,083024859E854BD999B6A5704CACC2A45e850fe5445a11958ea3703070bed73c,/mango.htm
20,,,"芒果出品,真人秀,明星,搞笑",apple,1170,2532,ZK_ylcVK_Ql3iq74,940660aa040d02f7429d6fcfab582de2bb1d14d3,/mango.htm
20,3019fc326fd1dc32d8d5ab07d15be2b4965e0e82e98ed65e5396480dfc2a2d73,Android_11,"剧情,喜剧,芒果出品",vivo,1080,1631,ZK_ynJ-kIQlYL3D4,3019fc326fd1dc32d8d5ab07d15be2b4965e0e82e98ed65e5396480dfc2a2d73,/mango.htm
20,,Android_10,"真人秀,美食,明星",HUAWEI,2560,1600,ZK_ynMVK_Ql3irb4,97d1be7d-0c5c-42d5-9012-503e8c97be15,/mango.htm
20,70D41177BED844909CB6AB6B49F1A2C81e3dadba1a2fc76ea4de8ced18830b2b,Android_13,"喜剧,爱情,芒果出品",OPPO,2305,1080,ZK_yncVK_Ql3irf3,70D41177BED844909CB6AB6B49F1A2C81e3dadba1a2fc76ea4de8ced18830b2b,/mango.htm
20,,Android_12,"都市,爱情,芒果出品",HUAWEI,1600,2002,ZK_yxIjR0QlAv_z7,0c3b09e8-5f3a-475b-81b6-c50d8c701867,/mango.htm
20,,,"真人秀,芒果出品",apple,2532,1170,ZK_yz3K6qlp1BNm4,5b66323c55ea02de166a951ae7b44cc07b51d257,/mango.htm
20,B6AD7E67E4A94FDD9EAF0FD3F4BD2FF08ee02a2cde23e44a80e352c3050ce429,Android_12,家庭,OnePlus,1080,2297,ZK_z-Z_HQlOatpS9,B6AD7E67E4A94FDD9EAF0FD3F4BD2FF08ee02a2cde23e44a80e352c3050ce429,/mango.htm
20,bfa65c5dc5f9954e,Android_12,"明星,真人秀,音乐,芒果出品",Redmi,1080,2280,ZK_z1ghIQAljynN5,bfa65c5dc5f9954e,/mango.htm
20,,Android_12,"真人秀,芒果出品",HUAWEI,1224,2601,ZK_z95Avywku3YX6,ffb21efa-6418-4327-b23b-0f8485ff9abb,/mango.htm
20,,Android_10,"都市,芒果出品,剧情",HUAWEI,1600,2476,ZK_z9INzKwlW6RE4,9f7ae6ff-f7ff-5481-bebf-cf6ddff78500,/mango.htm
20,ED8E4BE3CE894A3DB08693F358CA0281f90b35043c5c4f2873301188baa049f3,android,"剧情,古装,爱情,芒果出品",OPPO,720,1544,ZK_zDAlJIgktKS01,ED8E4BE3CE894A3DB08693F358CA0281f90b35043c5c4f2873301188baa049f3,/mango.htm
20,,,"古装,武侠,剧情,芒果出品",apple,2778,1284,ZK_zDloTBhZtKpo5,fbca456e6fb5b775b34d0491ff195b0e77c6e671,/mango.htm
20,,Android_10,"剧情,犯罪",HUAWEI,1080,2259,ZK_zDwhIQAljyZ29,d771f6cd-ff56-1ec6-67db-063fd3d2dd2d,/mango.htm
20,,,"爱情,都市,家庭,悬疑",apple,1125,2436,ZK_zOcgdNgl5pU_7,ec4177d18dbe68c96f7fd0cfb89420f380af5107,/mango.htm
20,,Windows,其他,,0,0,ZK_zfqJ1tQk4kUw7,RkU1QUIyNDg0QzY2OUNDNjMwNDNGNTMzQ0E3RTQwQTE=,/mango.htm
20,,Windows,其他,,0,0,ZK_zfqJ1tQk4kUw7,RkU1QUIyNDg0QzY2OUNDNjMwNDNGNTMzQ0E3RTQwQTE=,/mango.htm
20,0E391F0115EB475E9CA9DFA41FEC495Aeba18f7d95f2b41c280cd4e34744d16a,Android_13,"爱情,都市,芒果出品",OPPO,1060,1578,ZK_zt4VPiwlx68M8,0E391F0115EB475E9CA9DFA41FEC495Aeba18f7d95f2b41c280cd4e34744d16a,/mango.htm
20,5B35C04F08B24B9787BE03FE2E75D8EA85d9da732ff2fafaeaba56fe2f6a4e70,Android_12,"剧情,古装,爱情,芒果出品",OPPO,720,1460,ZK_zxP81KAl07Rw2,5B35C04F08B24B9787BE03FE2E75D8EA85d9da732ff2fafaeaba56fe2f6a4e70,/mango.htm
5,,Android_10,"纪实,生活,真人秀",HUAWEI,2265,1080,ZK8Ua7PsJwl9bVg5,3ff9db7f-fffe-f855-5ef7-edbb9bdf0a9d,/mango.htm
5,59EDAA5021064E23A7C8AE25C11EE80663bd26c1486766594ae8671852de2c99,Android_11,"都市,职场",OPPO,1080,2264,ZK8UcXZwyAkAiQX0,59EDAA5021064E23A7C8AE25C11EE80663bd26c1486766594ae8671852de2c99,/mango.htm
5,,,"明星,真人秀,芒果出品",apple,2532,1170,ZK8UlAx3jBLzGOT1,ADA3D897-A522-4761-B276-458045A8EF23,/mango.htm
5,,,"真人秀,芒果出品",apple,1242,2688,ZK8VTDtNDAlrpoU1,431a2a7c9bda620045f50678848b7def5b527d20,/mango.htm
5,e30043ea97e50d9c,Android_11,"都市,剧情,爱情",Redmi,2304,1036,ZK8XMWyFqS4IQie2,e30043ea97e50d9c,/mango.htm
