hour,oaid,os,item_names,brand,sw,sh,,
0,,,年代,apple,2388,1668,,
2,aa2fedf089ccc01e06e9334bc820f12c035b1a75dc001bb936807acb086f408e,Android_10,"剧情,都市,芒果出品",vivo,2115,1080,,
5,,,"益智,真人秀,搞笑,芒果出品",apple,1170,2532,,
5,,,"都市,剧情",Letv,,,,
6,,Android_10,"剧情,喜剧,爱情,家庭",HONOR,720,1552,,
6,29623f99032e00503a32d1dce9747545a18fa32f8e8a196277f789e2e71b7de2,Android_12,其他,samsung,1440,2988,,
7,,Android_10,其他,HUAWEI,2140,1080,,
7,,Android_11,其他,HONOR,1475,720,,
8,,Android_12,其他,HONOR,1152,2268,,
9,,,"明星,真人秀,芒果出品",Xiaomi,,,,
9,,,"剧情,喜剧,爱情,家庭",JM,,,,
9,,,其他,apple,1284,2778,,
9,FCD90D97DEB04D80976E658B34C1046F5a9acc8693a6b48471ad4bc77c54276f,Android_12,"纪实,生活,真人秀",OPPO,1080,2158,,
9,7d4a7c91b814df58,Android_11,其他,Xiaomi,1080,2210,,
0,,,"益智,真人秀,搞笑,芒果出品",MStar,,,,
1,F5EFFC17F7F767AA85EED029FD5DA218,Android_11,其他,EEBBK,1600,2176,,
1,F534F25EC30047D1B96E938177BBC1711ba7f8df93a7457bd71b12cc2cebccf4,Android_12,"文化,脱口秀,搞笑",OPPO,1530,688,,
1,17ca055b3d73d990c018e8076d0f871b186a01b07d5caa223625d1656e09bc4a,Android_10,剧情,vivo,1080,2340,,
2,,Android_10,"都市,爱情,芒果出品",HUAWEI,2268,1104,,
8,,,"都市,爱情",Sony,,,,
8,CB0269CE76A846A8947603C1750EBD65a90303418c30d1b1e57844f60eea43ce,android_11,其他,OPPO,2293,1080,,
0,,Android_11,"悬疑,芒果出品",HUAWEI,1224,2601,,
0,6EE9A6014944434A89BB62EB9513D217a64f8ff2795c572738214c9d49d16593,Android_10,"偶像,喜剧,爱情,古装,芒果出品",OPPO,1440,720,,
0,353be6dd1e9df8e4,Android_11,"都市,爱情,剧情",Xiaomi,3063,1384,,
1,,,"芒果出品,真人秀,明星,搞笑",Xiaomi,,,,
2,,9,"亲子,芒果出品,真人秀",Xiaomi,,,,
4,7CDAD3C430D24527B3E93364FEAB4CB9c4b1d0f6a23637f5c1ff4cc888ab2224,Android_10,"爱情,剧情,喜剧,都市,家庭",OPPO,720,1456,,
5,,Android_12,"剧情,悬疑,谍战,年代",HONOR,2203,1080,,
5,,,其他,Xiaomi,,,,
6,6BA9F62AAA09467BB6DC5948384A855288024e13d0c231576362749e388c71ac,,其他,oppo,,,,
7,,,"家庭,喜剧,青春",Xiaomi,,,,
7,,,"芒果出品,网剧,都市,爱情",nemo,,,,
8,,,音乐,apple,2160,1620,,
8,286F86BF872C4382A16CFE0C192792A41ff4cabff9d2254b88af70f238e24e85,android,"都市,校园,家庭",OPPO,1080,2180,,
