"date","hour","interval_start","count"
"2023-07-15",0,0.0,61615
"2023-07-15",0,10.0,43184
"2023-07-15",0,20.0,50524
"2023-07-15",0,30.0,27035
"2023-07-15",0,40.0,24082
"2023-07-15",0,50.0,21116
"2023-07-15",1,0.0,34348
"2023-07-15",1,10.0,30317
"2023-07-15",1,20.0,16749
"2023-07-15",1,30.0,14910
"2023-07-15",1,40.0,14831
"2023-07-15",1,50.0,13868
"2023-07-15",2,0.0,26830
"2023-07-15",2,10.0,15692
"2023-07-15",2,20.0,11401
"2023-07-15",2,30.0,10935
"2023-07-15",2,40.0,10318
"2023-07-15",2,50.0,9940
"2023-07-15",3,0.0,22777
"2023-07-15",3,10.0,9306
"2023-07-15",3,20.0,9043
"2023-07-15",3,30.0,8692
"2023-07-15",3,40.0,8518
"2023-07-15",3,50.0,8146
"2023-07-15",4,0.0,19961
"2023-07-15",4,10.0,8463
"2023-07-15",4,20.0,8235
"2023-07-15",4,30.0,8338
"2023-07-15",4,40.0,8446
"2023-07-15",4,50.0,8335
"2023-07-15",5,0.0,22670
"2023-07-15",5,10.0,9254
"2023-07-15",5,20.0,9501
"2023-07-15",5,30.0,9881
"2023-07-15",5,40.0,10715
"2023-07-15",5,50.0,11621
"2023-07-15",6,0.0,26836
"2023-07-15",6,10.0,21919
"2023-07-15",6,20.0,13891
"2023-07-15",6,30.0,15339
"2023-07-15",6,40.0,16181
"2023-07-15",6,50.0,17779
"2023-07-15",7,0.0,36453
"2023-07-15",7,10.0,28564
"2023-07-15",7,20.0,32720
"2023-07-15",7,30.0,24133
"2023-07-15",7,40.0,25729
"2023-07-15",7,50.0,26556
"2023-07-15",8,0.0,46640
"2023-07-15",8,10.0,37539
"2023-07-15",8,20.0,38238
"2023-07-15",8,30.0,39429
"2023-07-15",8,40.0,33437
"2023-07-15",8,50.0,33047
"2023-07-15",9,0.0,53845
"2023-07-15",9,10.0,46811
"2023-07-15",9,20.0,43163
"2023-07-15",9,30.0,41847
"2023-07-15",9,40.0,41954
"2023-07-15",9,50.0,36650
"2023-07-15",10,0.0,53131
"2023-07-15",10,10.0,48320
"2023-07-15",10,20.0,45310
"2023-07-15",10,30.0,49863
"2023-07-15",10,40.0,47601
"2023-07-15",10,50.0,44476
"2023-07-15",11,0.0,58510
"2023-07-15",11,10.0,50573
"2023-07-15",11,20.0,47838
"2023-07-15",11,30.0,46339
"2023-07-15",11,40.0,55195
"2023-07-15",11,50.0,64622
"2023-07-15",12,0.0,65809
"2023-07-15",12,10.0,57521
"2023-07-15",12,20.0,46160
"2023-07-15",12,30.0,46046
"2023-07-15",12,40.0,45366
"2023-07-15",12,50.0,45255
"2023-07-15",13,0.0,48977
"2023-07-15",13,10.0,41254
"2023-07-15",13,20.0,40444
"2023-07-15",13,30.0,42565
"2023-07-15",13,40.0,45742
"2023-07-15",13,50.0,46350
"2023-07-15",14,0.0,42814
"2023-07-15",14,10.0,35825
"2023-07-15",14,20.0,35442
"2023-07-15",14,30.0,49639
"2023-07-15",14,40.0,49980
"2023-07-15",14,50.0,63071
"2023-07-15",15,0.0,41754
"2023-07-15",15,10.0,36107
"2023-07-15",15,20.0,36118
"2023-07-15",15,30.0,36774
"2023-07-15",15,40.0,36047
"2023-07-15",15,50.0,35446
"2023-07-15",16,0.0,43313
"2023-07-15",16,10.0,66507
"2023-07-15",16,20.0,72195
"2023-07-15",16,30.0,74860
"2023-07-15",16,40.0,73385
"2023-07-15",16,50.0,34257
"2023-07-15",17,0.0,110666
"2023-07-15",17,10.0,103556
"2023-07-15",17,20.0,106549
"2023-07-15",17,30.0,111555
"2023-07-15",17,40.0,165906
"2023-07-15",17,50.0,239426
"2023-07-15",18,0.0,89153
"2023-07-15",18,10.0,68910
"2023-07-15",18,20.0,68744
"2023-07-15",18,30.0,70908
"2023-07-15",18,40.0,157553
"2023-07-15",18,50.0,198032
"2023-07-15",19,0.0,61221
"2023-07-15",19,10.0,52516
"2023-07-15",19,20.0,52926
"2023-07-15",19,30.0,61069
"2023-07-15",19,40.0,78485
"2023-07-15",19,50.0,43114
"2023-07-15",20,0.0,44310
"2023-07-15",20,10.0,30422
"2023-07-15",20,20.0,30596
"2023-07-15",20,30.0,29263
"2023-07-15",20,40.0,28943
"2023-07-15",20,50.0,33952
"2023-07-15",21,0.0,40328
"2023-07-15",21,10.0,26759
"2023-07-15",21,20.0,24962
"2023-07-15",21,30.0,24345
"2023-07-15",21,40.0,24918
"2023-07-15",21,50.0,22960
"2023-07-15",22,0.0,18775
"2023-07-15",22,10.0,17522
"2023-07-15",22,20.0,13651
"2023-07-15",22,30.0,13459
"2023-07-15",22,40.0,13189
"2023-07-15",22,50.0,11344
"2023-07-15",23,0.0,16243
"2023-07-15",23,10.0,6228
"2023-07-15",23,20.0,5379
"2023-07-15",23,30.0,6012
"2023-07-15",23,40.0,5036
"2023-07-15",23,50.0,4043
"2023-07-16",0,0.0,56295
"2023-07-16",0,10.0,42255
"2023-07-16",0,20.0,45769
"2023-07-16",0,30.0,27942
"2023-07-16",0,40.0,34600
"2023-07-16",0,50.0,26604
"2023-07-16",1,0.0,33064
"2023-07-16",1,10.0,29515
"2023-07-16",1,20.0,15803
"2023-07-16",1,30.0,14711
"2023-07-16",1,40.0,14041
