"date","hour","interval_start","count"
"2023-07-15",0,0.0,1430985
"2023-07-15",0,10.0,1298059
"2023-07-15",0,20.0,1219400
"2023-07-15",0,30.0,1145118
"2023-07-15",0,40.0,1079246
"2023-07-15",0,50.0,1014762
"2023-07-15",1,0.0,998294
"2023-07-15",1,10.0,916879
"2023-07-15",1,20.0,849477
"2023-07-15",1,30.0,799092
"2023-07-15",1,40.0,752220
"2023-07-15",1,50.0,691724
"2023-07-15",2,0.0,686679
"2023-07-15",2,10.0,634790
"2023-07-15",2,20.0,589112
"2023-07-15",2,30.0,574960
"2023-07-15",2,40.0,555319
"2023-07-15",2,50.0,554998
"2023-07-15",3,0.0,543341
"2023-07-15",3,10.0,490201
"2023-07-15",3,20.0,468623
"2023-07-15",3,30.0,467584
"2023-07-15",3,40.0,464150
"2023-07-15",3,50.0,455376
"2023-07-15",4,0.0,505107
"2023-07-15",4,10.0,501916
"2023-07-15",4,20.0,518745
"2023-07-15",4,30.0,548717
"2023-07-15",4,40.0,584692
"2023-07-15",4,50.0,639443
"2023-07-15",5,0.0,741633
"2023-07-15",5,10.0,756169
"2023-07-15",5,20.0,808704
"2023-07-15",5,30.0,874570
"2023-07-15",5,40.0,925112
"2023-07-15",5,50.0,970713
"2023-07-15",6,0.0,1096300
"2023-07-15",6,10.0,1152109
"2023-07-15",6,20.0,1202023
"2023-07-15",6,30.0,1270829
"2023-07-15",6,40.0,1289056
"2023-07-15",6,50.0,1363918
"2023-07-15",7,0.0,1410102
"2023-07-15",7,10.0,1393014
"2023-07-15",7,20.0,1437724
"2023-07-15",7,30.0,1479977
"2023-07-15",7,40.0,1469130
"2023-07-15",7,50.0,1480327
"2023-07-15",8,0.0,1508359
"2023-07-15",8,10.0,1503402
"2023-07-15",8,20.0,1477599
"2023-07-15",8,30.0,1475758
"2023-07-15",8,40.0,1474256
"2023-07-15",8,50.0,1469283
"2023-07-15",9,0.0,1479070
"2023-07-15",9,10.0,1449684
"2023-07-15",9,20.0,1459917
"2023-07-15",9,30.0,1458929
"2023-07-15",9,40.0,1478959
"2023-07-15",9,50.0,1480588
"2023-07-15",10,0.0,1462674
"2023-07-15",10,10.0,1479769
"2023-07-15",10,20.0,1483355
"2023-07-15",10,30.0,1463320
"2023-07-15",10,40.0,1456060
"2023-07-15",10,50.0,489010
"2023-07-15",11,0.0,501389
"2023-07-15",11,10.0,489756
"2023-07-15",11,20.0,488032
"2023-07-15",11,30.0,490355
"2023-07-15",11,40.0,502106
"2023-07-15",11,50.0,511968
"2023-07-15",12,0.0,518095
"2023-07-15",12,10.0,511939
"2023-07-15",12,20.0,498394
"2023-07-15",12,30.0,499174
"2023-07-15",12,40.0,495842
"2023-07-15",12,50.0,496311
"2023-07-15",13,0.0,501365
"2023-07-15",13,10.0,490063
"2023-07-15",13,20.0,492343
"2023-07-15",13,30.0,492762
"2023-07-15",13,40.0,495601
